Name;Link;Topic
Floodplain as a living space;https://wasserwelten.eglv.de/Dokumente/Schulordner_Kapitel_2.pdf;Floodplain living environment
Nationalpark Neusiedlersee ;https://www.nationalparkneusiedlersee.at/media/1483/pananet-210x148-nyomda.pdf;Floodplain living environment
WWF Auenreservat Jubiläumsfilm ;https://www.youtube.com/watch?v=gGAlaHpiZuQ&ab_channel=WWF%C3%96sterreich;Floodplain living environment
Donauauen - Unterrichtsmaterialien ;https://www.donauauen.at/ueber-uns/downloads/unterrichtsmaterialien;Floodplain living environment
Lebensraum Schilf;https://www.hausamhabsberg.de/hintergrund/moorprojekt-deusmauer-moor.html;Floodplain living environment
Lebensraum Erlenbruch;https://www.hausamhabsberg.de/hintergrund/moorprojekt-deusmauer-moor.html;Floodplain living environment
Danube Box;https://www.danubebox.org/en/version-en;Floodplain living environment
Experiential tour: Dealen met water;https://omgeving.vlaanderen.be/nl/fiets-en-belevingstocht-dealen-met-water;Floodplain living environment
Life Eislek: Restoration of wetlands and associated endangered species;http://life-eislek.eu/;Floodplain living environment
Introduction to Freshwater Wetlands for Improving Water Quality (Natural England);https://publications.naturalengland.org.uk/publication/4866931000868864;Floodplain living environment
Wetlands4Cities; https://www.natuurpunt.be/projecten/life-wetlands4cities;Floodplain living environment
Bugs2theRescue;https://www.bugs2therescue.be/doe-mee/;Floodplain living environment
Life Eislek: Restoration of wetlands and associated endangered species;http://life-eislek.eu/;Floodplain living environment
WWT Wildfowl and Wetlands Trust;"https://www.wwt.org.uk/; https://www.wwt.org.uk/uploads/documents/2019-06-04/1559662710-wwt-inspiring-generations-project-report-full.pdf";Floodplain living environment
Pedagogisch dossier voor het basis- en secundair onderwijs: Biodiversiteit en school / La biodiversité et l'école;https://document.environnement.brussels/opac_css/elecfile/DOP_Biodiversite_Biodiversiteit_NL.pdf;Floodplain living environment
Lebewesen der Gewässergüteklasse ;https://wasserwelten.eglv.de/Dokumente/Schulordner_Kapitel_4.pdf;Floodplain living environment
Tiergruppen_Fließgewässer;https://www.duh.de/fileadmin/_migrated/content_uploads/Informationsheft_02.pdf;Floodplain living environment
Welche Tiere findest du im Bach?;https://www.duh.de/fileadmin/_migrated/content_uploads/Heft2_02.pdf;Floodplain living environment
"Handreichung Gewässerpädagogik 
für die Grundschule";https://www.naturschule-region-bodensee.de/wp-content/uploads/2016/06/Einmaleins_2011_web.pdf;Floodplain living environment
wirbellosen Weiherbewohner;https://www.aquaviva.ch/images/login/unterrichtsmaterialien/ideenpool/dossiers-broschueren/20230807_av_stille_wasser_gruenden_tief_aktualisiert.pdf;Floodplain living environment
Die faszinierende Welt der Gewässerorganismen;https://www.aquaviva.ch/images/login/unterrichtsmaterialien/fernunterricht/wassertiere/2023_Eintagsfliegen_leben_lnger_komplett_aktualisiert.pdf;Floodplain living environment
Play with Water;"https://www.zhaw.ch/en/lsfm/business-services/nachwuchsfoerderung-angebote-fuer-schulen/play-with-water/
";Floodplain living environment
Veldkoffers provincie Antwerpen;"https://www.provincieantwerpen.be/aanbod/doe/nme-edo/veldkoffers.html
";Floodplain living environment
"ELEDAN - Developing an E-learning tool for Environmental Education for Primary and Secondary School in the Lower Danube Region
";https://water-detective.net/;Floodplain living environment
Wie wirken Bäume auf die Lufttemperatur;https://www.expedio.ch/fileadmin/user_upload/expedio/Materialien_Lehrpersonen/Klima_Wald_und_Lufttemperatur_Z2.pdf;Floodplain living environment
Inspiratiekaarten klimaatadaptatie: droogte, hitte, overstromingen, wateroverlast, klimaatspel;"https://anmec.nl/campagnes/campagne/inspiratiekaarten-klimaatadaptatie.html; https://urbo3d.com/het-klimaatspel/";Floodplain living environment
WWT Wildfowl and Wetlands Trust;"https://www.wwt.org.uk/; https://www.wwt.org.uk/uploads/documents/2019-06-04/1559662710-wwt-inspiring-generations-project-report-full.pdf";Floodplain living environment
EDUbox Ruimtelijk bewustzijn: Mijn keuzes voor een duurzame buurt;"https://edubox.vrtnws.be/ruimtelijk-bewustzijn/index.html
";Floodplain living environment
European Schools for a Living Planet;https://wwf.ro/wp-content/uploads/2023/02/manual_esfalp.pdf;Floodplain living environment
ECOBIAS Development of master curricula in ecological monitoring and aquatic bioassessment for Western Balkans HEIs(Aquatic/Semiaquatic macrophyte);https://www.ecobiaserasmus.com/;Floodplain living environment
ECOBIAS Development of master curricula in ecological monitoring and aquatic bioassessment for Western Balkans HEIs (Algology);https://www.ecobiaserasmus.com/;Floodplain living environment
ECOBIAS Development of master curricula in ecological monitoring and aquatic bioassessment for Western Balkans HEIs (Microbiology);https://www.ecobiaserasmus.com/;Floodplain living environment
ECOBIAS Development of master curricula in ecological monitoring and aquatic bioassessment for Western Balkans HEIs (IchThiology);https://www.ecobiaserasmus.com/;Floodplain living environment
ECOBIAS Development of master curricula in ecological monitoring and aquatic bioassessment for Western Balkans HEIs (Bioindication/Biomonitoring);https://www.ecobiaserasmus.com/;Floodplain living environment
ECOBIAS Development of master curricula in ecological monitoring and aquatic bioassessment for Western Balkans HEIs (Freshwater ecology);https://www.ecobiaserasmus.com/;Floodplain living environment
Lebendige Luppe (Forester game);https://forester.giscame.com/game.php;Floodplain living environment
Lebendige Luppe (Daumenkino);https://lebendige-luppe.de/media/daumenkino.pdf;Floodplain living environment
Lebendige Luppe - Stockwerke des Waldes;https://lebendige-luppe.de/media/ll_arbeitsblatt_stockwerke_des_leipziger_auwaldes.pdf;Floodplain living environment
Lebendige Luppe - Handreichung zur Umweltbildung für Pädagog*innen ;https://lebendige-luppe.de/media/konzept_broschur_din_a4_v4-2018-e03-web.pdf;Floodplain living environment
Lebendige Luppe - Arbeitsblätter zum Leipziger Auenheft ;https://lebendige-luppe.de/media/arbeitsblatt_blattsammlung_all_din_a3_e02-2018-web.pdf;Floodplain living environment
Lebendige Luppe - Lebensräume der Auenlandschaft;https://lebendige-luppe.de/media/ll-lebensraum_broschur_e14-web_1.pdf;Floodplain living environment
Lebendige Luppe - Fische in der Auenlandschaft;https://lebendige-luppe.de/media/fische_der_auenlandschaften_26082019-web.pdf;Floodplain living environment
Lebendige Luppe - Hintergrundwissen zur Auwaldbildung für Pädagog*innen ;https://lebendige-luppe.de/media/begriffsklaerung-ll-e05.pdf;Floodplain living environment
ECOBIAS Development of master curricula in ecological monitoring and aquatic bioassessment for Western Balkans HEIs (Aquatic macroinvertebrates);https://www.ecobiaserasmus.com/;Floodplain living environment
ECOBIAS Development of master curricula in ecological monitoring and aquatic bioassessment for Western Balkans HEIs (eDNA);https://www.ecobiaserasmus.com/;Floodplain living environment
ECOBIAS Development of master curricula in ecological monitoring and aquatic bioassessment for Western Balkans HEIs (GIS & Remote Sensing);https://www.ecobiaserasmus.com/;Floodplain mapping
Schlauchexperiment Mäander;https://www.bestellen.bayern.de/application/eshop_app000003?SID=2101676622&ACTIONxSESSxSHOWPIC(BILDxKEY:%27lfu_was_00121%27,BILDxCLASS:%27Artikel%27,BILDxTYPE:%27PDF%27);Flood control
Bach im Sandkasten/Stream in the sandbox;https://wbw-fortbildung.de/sites/default/files/2021-10/Gew%C3%A4sserForscherBox_WBWF_Reisef%C3%BChrer2021.pdf;Flood control
Danube Box;https://www.danubebox.org/en/version-en;Flood control
MOS-bundel Water;https://www.mosvlaanderen.be/mos-bundel-water;Flood control
Sigmaplan;https://www.sigmaplan.be/nl/voor-scholen;Flood control
Board game: Hoog water zonder kater;https://www.integraalwaterbeleid.be/nl/beleidsinstrumenten/meerlaagse-waterveiligheid/hoog-water-zonder-kater;Flood control
Project Waterland: Film - Erfgoed - Natuur;"https://jetsetvoorfilmonderwijs.nl/, https://blauweschuitonderwijs.nl/aanbod/filmproject-waterland/
";Flood control
Lebendige Luppe - Fließgewässerprotokoll ;https://lebendige-luppe.de/media/ll_fliessgewaesserprotokoll_a4-e02_1.pdf;Flood control
Lebendige Luppe - Gewässerpuzzle ;https://lebendige-luppe.de/media/ll_puzzle_a4-2022-17082022-print.pdf;Flood control
Bachprofil:Schätzen, messen, auswerten;https://www.expedio.ch/fileadmin/user_upload/expedio/Materialien_Lehrpersonen/Bach_Bachprofil_Z2.pdf;Habitat assessment
Strömung im Bach wahrnehmen und erleben;https://www.expedio.ch/fileadmin/user_upload/expedio/Materialien_Lehrpersonen/Bach_Stroemung_wahrnehmen_Z1.pdf;Habitat assessment
Nutzung von Grünflächen;https://www.expedio.ch/fileadmin/user_upload/expedio/Materialien_Lehrpersonen/Wiesennutzung_Newsletter_Z1.pdf;Habitat assessment
Wie ist die Qualität unseres Bachs;https://www.expedio.ch/fileadmin/user_upload/expedio/Materialien_Lehrpersonen/Bach_Gewaesser-Beurteilung_Z2.pdf;Habitat assessment
Welche ökologische Qualität hat der Weiher;https://www.expedio.ch/fileadmin/user_upload/expedio/Materialien_Lehrpersonen/Weiher_OEkomorphologie_Z3.pdf;Habitat assessment
Bach, Landschaft und Gewässerstruktur;https://www.klimabildung-hessen.de/files/content/projekte/Ein%20Bach%20ist%20mehr%20als%20Wasser/1._bach_landschaft_und_gewaesserstruktur_pdf-datei_886_kb.pdf;Habitat assessment
Erläuterungen zu den Bewertungsbögen -  Gewässerstruktur und Gewässerumfeld;https://www.klimabildung-hessen.de/files/content/projekte/Ein%20Bach%20ist%20mehr%20als%20Wasser/12._erlaeuterungen_zu_den_bewertungsboegen_pdf-datei_1.109_kb.pdf;Habitat assessment
"Lebensraum für Tiere und Pflanzen 
Fließgewässer und ihre Auen";https://www.klimabildung-hessen.de/files/content/projekte/Ein%20Bach%20ist%20mehr%20als%20Wasser/2._lebensraum_fuer_tiere_und_pflanzen_-_fliessgewaessr_und_ihre_auen_pdf-datei_1.612_kb.pdf;Habitat assessment
Die_Aue_und_ihre_Vegetation;https://www.nua.nrw.de/fileadmin/user_upload/NUA/Publikationen/Material_Bildungsarbeit/Bildungsordner/Bildungsordner/Lehrerordner-als-Download/U08_Aue_11_S.pdf;Habitat assessment
Strukturguete_Tiefland;https://www.nua.nrw.de/fileadmin/user_upload/NUA/Publikationen/Material_Bildungsarbeit/Bildungsordner/Bildungsordner/Lehrerordner-als-Download/FP6_Strukturguete_Tiefland.pdf;Habitat assessment
Strukturguete_Mittelgebirge;https://www.nua.nrw.de/fileadmin/user_upload/NUA/Publikationen/Material_Bildungsarbeit/Bildungsordner/Bildungsordner/Lehrerordner-als-Download/FP7_Strukturguete_Mittelgebirge.pdf;Habitat assessment
Berechnung des Nutzungs-Index der Aue;https://www.nua.nrw.de/fileadmin/user_upload/NUA/Publikationen/Material_Bildungsarbeit/Bildungsordner/Bildungsordner/Lehrerordner-als-Download/FP8_Nutzungsindex_Aue.pdf;Habitat assessment
UFERRANDSTREIFEN;https://www.nua.nrw.de/fileadmin/user_upload/NUA/Publikationen/Material_Bildungsarbeit/Bildungsordner/Bildungsordner/Lehrerordner-als-Download/FP9_Uferrandstreifen.pdf;Habitat assessment
Das Gewässer in seiner Umgebung;https://www.isb.bayern.de/fileadmin/user_upload/Gymnasium/Faecher/Biologie/Gewaesser_entdecken/Handreichung_Gewaesser_entdecken.pdf;Habitat assessment
"Beschreibung, eines Fließgewässers – 
Bett, Ufer, Aue ";https://www.lfu.bayern.de/wasser/wasserforscher/doc/lernort_gewaesser_bildschirm.pdf;Habitat assessment
Gewässerstrukturgüte/ Erforschung der Ufervegetation;file://ucsshare.ad.igb-berlin.de/rdf/costea/Downloads/LHLA2018Sek1_web%20(2).pdf;Habitat assessment
Gewässerstrukturgüte;file://ucsshare.ad.igb-berlin.de/rdf/costea/Downloads/LHLA-Jan16_web%20(1).pdf;Habitat assessment
Naturnaher Bach – naturferner Bach;https://wasserwelten.eglv.de/Dokumente/Schulordner_Kapitel_3.pdf;Habitat assessment
Bachprotokoll/Stream protocol;https://wbw-fortbildung.de/sites/default/files/2021-10/Gew%C3%A4sserForscherBox_WBWF_Reisef%C3%BChrer2021.pdf;Habitat assessment
Schulen für eine Lebendige Weser_Strukturgüteberwertung_Info_Heft;https://www.duh.de/fileadmin/_migrated/content_uploads/Informationsheft_02.pdf;Habitat assessment
Gewässerstrukturgüte_Lehrerheft;https://www.duh.de/fileadmin/_migrated/content_uploads/Lehrerheft_02.pdf;Habitat assessment
dossier-fliessgewaesser-aqua-viva;https://www.aquaviva.ch/images/login/unterrichtsmaterialien/ideenpool/dossiers-broschueren/dossier-fliessgewaesser-aqua-viva.pdf;Habitat assessment
De Blankaart;https://www.west-vlaanderen.be/domeinen/blankaart;Habitat assessment
De Milieuboot - Op sleeptouw: Lespakket over water;https://www.milieuboot.be/op-sleeptouw/op-sleeptouw-scholen.php;Habitat assessment
Help de otter: scholenwedstrijd zwerfvuilactie;https://wwf.be/nl/scholen/help-de-otter-win-een-radio-oorwoud-concert-op-jouw-school;Habitat assessment
Museu de l´Agua y el Textil, Manresa, Spain: educational video's and activities;https://www.parcdelasequia.cat/servei-educatiu/recursos-educatius/;Habitat assessment
Concept of transboundary learning network of RIVER`SCOOLs (TLN concept);https://www.interreg-danube.eu/uploads/media/approved_project_output/0001/24/b9084d160cf03d79740470e3d94be43318d43d65.pdf;Habitat assessment
River Habitat Survey in Britain and Ireland - Field Survey Guidance Manual;https://www.gov.uk/government/publications/river-habitat-survey-guidance-manual;Habitat assessment
ECOBIAS Development of master curricula in ecological monitoring and aquatic bioassessment for Western Balkans HEIs (Wetland&Riparian Ecology);https://www.ecobiaserasmus.com/;Habitat assessment
ECOBIAS Development of master curricula in ecological monitoring and aquatic bioassessment for Western Balkans HEIs (Methodology ecology);https://www.ecobiaserasmus.com/;Habitat assessment
ECOBIAS Development of master curricula in ecological monitoring and aquatic bioassessment for Western Balkans HEIs (Aquatic botany&Zoology));https://www.ecobiaserasmus.com/;Habitat assessment
ECOBIAS Development of master curricula in ecological monitoring and aquatic bioassessment for Western Balkans HEIs (Eval_River_Conservation);https://www.ecobiaserasmus.com/;Habitat assessment
ECOBIAS Development of master curricula in ecological monitoring and aquatic bioassessment for Western Balkans HEIs (Bioindication&Biomonitoring));https://www.ecobiaserasmus.com/;Habitat assessment
ECOBIAS Development of master curricula in ecological monitoring and aquatic bioassessment for Western Balkans HEIs (Protocols_ecomonitoring);https://www.ecobiaserasmus.com/;Habitat assessment
ECOBIAS Development of master curricula in ecological monitoring and aquatic bioassessment for Western Balkans HEIs (GIS&Remote sensing);https://www.ecobiaserasmus.com/;Habitat assessment
ECOBIAS Development of master curricula in ecological monitoring and aquatic bioassessment for Western Balkans HEIs (Aquatic monitoring);https://www.ecobiaserasmus.com/;Habitat assessment
ECOBIAS Development of master curricula in ecological monitoring and aquatic bioassessment for Western Balkans HEIs ;https://www.ecobiaserasmus.com/;Habitat assessment
9_CO2_Experimente;https://www.expedio.ch/fileadmin/user_upload/expedio/Materialien_Lehrpersonen/Klima_CO2-Experimente.pdf;Carbon sequestration
Der Boden als Wasserfilter;https://www.expedio.ch/fileadmin/user_upload/expedio/Materialien_Lehrpersonen/Boden_BodenAlsWasserfilter_Zyklus3.pdf;Self purification
Stoffhaushalt im Ökosystem - Selbstreinigung in Fließgewässern;https://www.klimabildung-hessen.de/files/content/projekte/Ein%20Bach%20ist%20mehr%20als%20Wasser/3._stoffhaushalt_im_oekosystem_pdf-datei_530_kb.pdf;Self purification
Chem-Physik_Qualitaet_FP5;http://www.nua.nrw.de/fileadmin/user_upload/NUA/Publikationen/Material_Bildungsarbeit/Bildungsordner/Bildungsordner/Lehrerordner-als-Download/FP5_Chem-Physik_Qualitaet.pdf;Self purification
Stoffkreisläufe_der_Stickstoffhaushalt_Fließgewässern_U05;https://www.nua.nrw.de/fileadmin/user_upload/NUA/Publikationen/Material_Bildungsarbeit/Bildungsordner/Bildungsordner/Lehrerordner-als-Download/U05_Stickstoffkreislauf_13_S.pdf;Self purification
Anpassungen_an_die_abiotischen_Faktoren_Temperatur_Sauerstoff;http://www.nua.nrw.de/fileadmin/user_upload/NUA/Publikationen/Material_Bildungsarbeit/Bildungsordner/Bildungsordner/Lehrerordner-als-Download/U06_Temperatur_Sauerstoff_8_S.pdf;Self purification
Selbstreinigung von Fließgewässern;https://www.nua.nrw.de/fileadmin/user_upload/NUA/Publikationen/Material_Bildungsarbeit/Bildungsordner/Bildungsordner/Lehrerordner-als-Download/U15_Selbstreinigung_11_S.pdf;Self purification
Selbstreinigung von Fließgewässern_natural_vs_degraded;https://www.nua.nrw.de/fileadmin/user_upload/NUA/Publikationen/Material_Bildungsarbeit/Bildungsordner/Bildungsordner/Lehrerordner-als-Download/M2-1_natuerliche_und_degradierte_FG.pdf;Self purification
Erstellung einer Concept-Map;https://www.nua.nrw.de/fileadmin/user_upload/NUA/Publikationen/Material_Bildungsarbeit/Bildungsordner/Bildungsordner/Lehrerordner-als-Download/M5-1_Erstellung%20einer%20Concept-Map.pdf;Self purification
Musterloesung_Concept-Map;https://www.nua.nrw.de/fileadmin/user_upload/NUA/Publikationen/Material_Bildungsarbeit/Bildungsordner/Bildungsordner/Lehrerordner-als-Download/L6_Musterloesung_Concept-Map__1_0_MB_.pdf;Self purification
Experiment: Der Boden als Wasserfilter;https://www.lfu.bayern.de/wasser/agws/doc/mediathek/3_arbeitsblatt_3m2.pdf;Self purification
Der Boden als Wasserfilter;https://wasserwelten.eglv.de/Dokumente/Schulordner_Kapitel_1.pdf;Self purification
Selbstreinigung;file://ucsshare.ad.igb-berlin.de/rdf/costea/Downloads/LHLA2018Sek1_web%20(2).pdf;Self purification
Biological self-cleaning ;https://wasserwelten.eglv.de/Dokumente/Schulordner_Kapitel_3.pdf;Self purification
Droppie Water;https://www.droppiewater.nl/droppiewaterindeklas/;Self purification
Hidrodoe: een wereld van water;https://www.hidrodoe.be/scholen/lager-onderwijs/virtueel/zoektochten;Self purification
MOS-bundel Water;https://www.mosvlaanderen.be/mos-bundel-water;Self purification
Play with Water;"https://www.zhaw.ch/en/lsfm/business-services/nachwuchsfoerderung-angebote-fuer-schulen/play-with-water/
";Self purification
"ELEDAN - Developing an E-learning tool for Environmental Education for Primary and Secondary School in the Lower Danube Region
";https://water-detective.net/;Self purification
"Zin in water: Pedagogisch dossier voor het basisonderwijs
";"https://leefmilieu.brussels/onderwijs/lesmateriaal/leermiddelen-thema-water
";Self purification
Introduction to Freshwater Wetlands for Improving Water Quality (Natural England);https://publications.naturalengland.org.uk/publication/4866931000868864;Self purification
Fairmount Water Works Interpretive Center, Philadelphia, USA: Understanding the Urban Watershed;"https://resourcewater.org/
";Self purification
ECOBIAS Development of master curricula in ecological monitoring and aquatic bioassessment for Western Balkans HEIs ;https://www.ecobiaserasmus.com/;Self purification
ECOBIAS Development of master curricula in ecological monitoring and aquatic bioassessment for Western Balkans HEIs ;https://www.ecobiaserasmus.com/;Self purification
Abwasser, Kanalisation und Kläranlage;https://www.klimabildung-hessen.de/files/content/projekte/Ein%20Bach%20ist%20mehr%20als%20Wasser/8._abwasser_kanalisation_und_klaeranlage_pdf-datei_752_kb.pdf;Constructed wetlands
Funktion_eines_Klärwerks;https://www.nua.nrw.de/fileadmin/user_upload/NUA/Publikationen/Material_Bildungsarbeit/Bildungsordner/Bildungsordner/Lehrerordner-als-Download/U16_Klaerwerk_8_S.pdf;Constructed wetlands
Arbeitserleichterung für die Kläranlage;https://www.lfu.bayern.de/wasser/wasserforscher/doc/lernort_gewaesser_bildschirm.pdf;Constructed wetlands
Teaching material for primary schools ‘Constructed wetlands’;https://www.zhaw.ch/storage/lsfm/dienstleistung/schulen/play-with-water/lehrmaterial-pflanzenklaeranlagen.pdf;Constructed wetlands
"Construction of a functional constructed wetland 
as a model plant for wastewater treatment ";https://landesstelle.org/de/projekte/134-projekt-pflanzenklaeranlage;Constructed wetlands
Play with Water;"https://www.zhaw.ch/en/lsfm/business-services/nachwuchsfoerderung-angebote-fuer-schulen/play-with-water/
";Constructed wetlands
Library of the River Restoration Centre;"https://www.therrc.co.uk/publications
";Constructed wetlands
Introduction to Freshwater Wetlands for Improving Water Quality (Natural England);https://publications.naturalengland.org.uk/publication/4866931000868864;Constructed wetlands
Mensch und Gewässer – Einführung;https://www.klimabildung-hessen.de/files/content/projekte/Ein%20Bach%20ist%20mehr%20als%20Wasser/4._mensch_und_gewaesser_-_einfuehrung_pdf-datei_1.422_kb.pdf;Aesthetics
Freizeitnutzung;https://www.klimabildung-hessen.de/files/content/projekte/Ein%20Bach%20ist%20mehr%20als%20Wasser/9._freizeitnutzung_pdf-datei_448_kb.pdf;Aesthetics
Experiential tour: Dealen met water;https://omgeving.vlaanderen.be/nl/fiets-en-belevingstocht-dealen-met-water;Aesthetics
Mensch und Gewässer – Einführung;https://www.klimabildung-hessen.de/files/content/projekte/Ein%20Bach%20ist%20mehr%20als%20Wasser/4._mensch_und_gewaesser_-_einfuehrung_pdf-datei_1.422_kb.pdf;Aesthetics
Virtueller Rundgang - Haus der Wildnis;https://hdw3d.wildnisgebiet.at/;Aesthetics
Virtueller Lehrpfad Wildnisgebiet Urwald;https://lehrpfad.wildnisgebiet.at/;Aesthetics
Das Lassingtal - Rückkehr zur Wildnis ;https://www.wildnisgebiet.at/wildnisgebiet/exkursion/das-lassingtal-ruckkehr-zur-wildnis;Aesthetics
Nationalpark Donauauen - Unterrichtsmaterialien ;https://www.nationalparksaustria.at/files/Inhalte/downloads/NPA_Unterrichtsmaterialien.pdf;Aesthetics
Nationalpark Kalkalpen - Unterrichtsmaterialien ;https://www.youtube.com/watch?v=TyAiNiyWnjg&ab_channel=NationalparkKalkalpen;Aesthetics
Essen - Färben - Heilen - Nationalpark Donauauen ;https://www.donauauen.at/besuchen/erleben/alle-angebote/essen-faerben-heilen;Aesthetics
Danube Box;https://www.danubebox.org/en/version-en;Aesthetics
Danube Nature Guides;https://www.naturschule-region-bodensee.de/nature-school-english/;Aesthetics
Naturschätze in Szene setzen;https://www.expedio.ch/fileadmin/user_upload/expedio/Materialien_Lehrpersonen/Schulumgebung_Z12_Naturschaetze.pdf;Art & Storytelling
Die Schulumgebung(Die Aue) unter der Lupe;https://www.expedio.ch/fileadmin/user_upload/expedio/Materialien_Lehrpersonen/Schulumgebung_Unter_der_Lupe_Z2.pdf;Art & Storytelling
Auen im Museum;https://www.expedio.ch/fileadmin/user_upload/expedio/Materialien_Lehrpersonen/Auen_Schuldossier.pdf;Art & Storytelling
Ökosystem Weiher;https://www.expedio.ch/fileadmin/user_upload/expedio/Materialien_Lehrpersonen/Weiher_Factsheet_Weiherzonen.pdf;Art & Storytelling
Naturkonzerte;https://www.expedio.ch/fileadmin/user_upload/expedio/Materialien_Lehrpersonen/Forschen_Naturkonzerte.pdf;Art & Storytelling
Kleine Welten auf Fotos präsentieren;https://www.expedio.ch/fileadmin/user_upload/expedio/Materialien_Lehrpersonen/Forschen_WeltenPraesentieren_Zyklus3.pdf;Art & Storytelling
Die selbstgemachte Binsen(Juncus)-Kerze;https://www.expedio.ch/fileadmin/user_upload/expedio/Materialien_Lehrpersonen/Pflanzen_Binsenlicht_Z23.pdf;Art & Storytelling
Kartenspiel RiverFun;http://www.nua.nrw.de/fileadmin/user_upload/NUA/Publikationen/Material_Bildungsarbeit/Bildungsordner/Bildungsordner/Lehrerordner-als-Download/U11_RiverFun_%209_S.pdf;Art & Storytelling
Natur-Bingo (Gewässer-Bingo);https://www.isb.bayern.de/schularten/gymnasium/faecher/biologie/gewaesser-entdecken/;Art & Storytelling
Teichtheater - Pond Theatre;https://naturschutzbund.at/files/lg/vorarlberg/2019/2018_12_20_Brosch%C3%BCre_inkl.%20aller%20Artikelb2.pdf;Art & Storytelling
Tierausstellung -Animal exhibition;https://naturschutzbund.at/files/lg/vorarlberg/2019/2018_12_20_Brosch%C3%BCre_inkl.%20aller%20Artikelb2.pdf;Art & Storytelling
 Malerpalette_Painters Palette;https://naturschutzbund.at/files/lg/vorarlberg/2019/2018_12_20_Brosch%C3%BCre_inkl.%20aller%20Artikelb2.pdf;Art & Storytelling
Karte erstellen_Create map;https://naturschutzbund.at/files/lg/vorarlberg/2019/2018_12_20_Brosch%C3%BCre_inkl.%20aller%20Artikelb2.pdf;Art & Storytelling
What will happen to the land in the floodplain? A simulation game;https://wasserwelten.eglv.de/Dokumente/Schulordner_Kapitel_4.pdf;Art & Storytelling
Tiere aus Naturmaterialien -Landart/Animals made from natural materials;https://wbw-fortbildung.de/sites/default/files/2021-10/Gew%C3%A4sserForscherBox_WBWF_Reisef%C3%BChrer2021.pdf;Art & Storytelling
Floßbau_Landart/Building a raft;https://wbw-fortbildung.de/sites/default/files/2021-10/Gew%C3%A4sserForscherBox_WBWF_Reisef%C3%BChrer2021.pdf;Art & Storytelling
Wasserrad/Water wheel;https://wbw-fortbildung.de/sites/default/files/2021-10/Gew%C3%A4sserForscherBox_WBWF_Reisef%C3%BChrer2021.pdf;Art & Storytelling
Donauauen - Auf den Spuren der Aubesetzung ;https://www.donauauen.at/besuchen/erleben/alle-angebote/auf-den-spuren-der-aubesetzung;Art & Storytelling
Donauauen - Napoleons Spuren in der Lobau ;https://www.donauauen.at/besuchen/erleben/alle-angebote/napoleon-spuren-lobau;Art & Storytelling
"Wandertheaterstück ""Der Lange Atem"" ";https://www.sirene.at/video/der-lange-atem/;Art & Storytelling
Hidrodoe: een wereld van water;https://www.hidrodoe.be/scholen/lager-onderwijs/virtueel/zoektochten;Art & Storytelling
The Adventures of Starry, the Brave Sturgeon;https://danube-iad.eu/index.php?item=educational_issues;Art & Storytelling
Global Network of Water Museums: The Water We Want;https://thewaterwewant.watermuseums.net/;Art & Storytelling
Stemmen uit de Droogte - Voices from the Drought;https://www.natuurpunt.be/projecten/stemmen-uit-de-droogte-voices-from-the-drought;Art & Storytelling